    Gender Ethnicity Prior.Stress During.Stress Post.Stress Age
162	1	Romanian	3	6	6	52
163	2	Romanian	4	7	7	53
164	2	Romanian	4	4	4	50
165	2	Romanian	4	5	5	37
166	2	Romanian	4	6	6	38
167	2	Romanian	4	4	4	42
168	2	Romanian	6	5	4	38
169	2	British	4	4	4	30
170	2	Australian	5	5	4	26
171	1	Belgian	4	7	6	42
172	2	Romanian	7	4	1	26
173	1	Italian	2	3	3	42
174	1	British	6	7	7	33
175	1	Mexican	5	6	4	48
176	2	Moldavian	4	4	4	22
177	2	Moldavian	4	7	7	22
178	2	Moldavian	4	6	3	21
179	2	Romanian	1	1	1	48
180	2	Romanian	4	6	6	29
181	1	Romanian	7	7	7	45
182	2	Romanian	1	4	4	31
183	2	Romanian	4	7	4	22
184	1	Romanian	4	6	7	31
185	1	Romanian	1	7	1	29
186	1	Romanian	4	4	4	24
187	2	Romanian	1	7	7	33
188	2	Romanian	5	2	6	27
189	2	Romanian	4	4	6	23
190	2	Romanian	7	7	6	23
191	2	Romanian	2	4	3	29
192	2	Romanian	1	7	4	24
193	2	Romanian	4	7	7	25
194	1	Romanian	4	4	4	25
195	2	Romanian	1	1	1	41
196	2	Romanian	4	4	4	26
197	2	Romanian	4	6	5	50
198	2	Romanian	4	6	4	34
199	2	Romanian	6	4	5	25
200	2	Romanian	4	5	5	22
201	1	Romanian	1	3	1	26
202	2	Romanian	4	7	7	46
203	2	Romanian	4	4	4	20
204	2	Romanian	1	5	3	37
205	2	Romanian	1	4	4	26
206	2	Romanian	1	2	1	25
207	2	Romanian	4	3	4	26
208	2	Romanian	3	2	2	22
209	2	Romanian	4	6	4	29
210	1	Turkish	5	4	4	36
211	2	British	6	4	4	32
212	2	Romanian	7	7	7	29
213	2	Hungarian	6	6	6	28
214	2	Romanian	4	5	4	22
215	2	Romanian	7	4	1	23
216	2	Romanian	6	6	5	37
217	2	Romanian	4	5	5	33
218	2	Romanian	4	6	6	32
219	2	Romanian	1	5	6	34
220	2	Romanian	1	5	3	31
221	2	Romanian	4	6	4	28
222	1	Chinese	4	3	4	64
223	1	Romanian	3	5	3	20
224	2	Romanian	4	5	5	21
225	2	Romanian	2	6	6	22
226	2	Croatian	6	4	4	27
227	2	Romanian	1	3	2	21
228	2	Romanian	4	4	4	23
229	2	Romanian	5	7	7	23
230	1	Romanian	4	6	5	23
231	1	Romanian	3	6	4	22
232	2	Romanian	4	6	6	31
233	2	Romanian	4	7	5	43
234	2	Japanese	6	5	5	23
235	2	Moldavian	2	3	2	21
236	2	Hungarian	3	4	3	28
237	2	Hungarian	4	5	3	21
238	2	Moldavian	4	4	4	24
239	2	Moldavian	3	6	5	19
240	2	Romanian	6	3	4	25
241	2	Romanian	4	4	4	19
242	2	Romanian	1	1	1	23
243	2	Romanian	3	6	4	19
244	2	Romanian	4	7	7	21
245	2	Romanian	2	4	6	19
246	2	Romanian	3	4	3	21
247	2	Romanian	1	4	3	21
248	2	Romanian	4	6	4	20
249	2	Romanian	1	2	1	21
250	2	Romanian	4	7	5	19
251	2	Romanian	6	5	4	21
252	2	Romanian	3	6	4	19
253	2	Romanian	5	4	6	23
254	2	Moldavian	4	7	5	47
255	2	Romanian	3	5	3	48
256	2	Romanian	3	3	3	38
257	2	Romanian	4	6	5	33
258	1	Hungarian	5	7	5	23
259	1	Moldavian	2	5	4	20
260	2	Romanian	5	7	7	23
261	1	Romanian	4	3	3	38
262	2	Italian	5	6	4	41
263	2	Romanian	4	6	5	37
264	2	Hungarian	2	5	4	38
265	1	Hungarian	3	4	3	35
266	2	Romanian	6	4	6	41
267	2	Romanian	4	6	5	33
268	2	Romanian	5	6	6	42
269	2	Romanian	4	7	5	29
270	2	Romanian	5	4	3	36
271	2	Romanian	3	4	4	47
272	2	Romanian	5	6	6	38
273	1	Romanian	4	7	5	57
274	2	Canadian	6	4	5	40
275	2	Hungarian	4	6	5	38
276	2	Romanian	4	6	5	32
277	2	Romanian	4	7	5	29
278	2	Romanian	4	6	5	45
279	2	Romanian	4	7	7	37
280	2	Romanian	4	6	5	33
281	2	Romanian	3	6	5	43
282	2	Romanian	2	4	6	42
283	3	American	7	1	1	45
284	2	British	5	7	3	35
285	2	Canadian	2	2	2	46
286	1	British	1	1	1	28
287	2	Romanian	7	5	4	40
288	1	Romanian	5	6	5	26
289	2	Romanian	5	4	4	24
290	2	Romanian	4	7	6	29
291	1	Romanian	4	3	3	30
292	2	Romanian	4	4	5	23
293	2	Romanian	4	5	5	23
294	2	Romanian	2	4	5	29
295	2	Romanian	4	6	5	28
296	2	Romanian	4	5	4	33
297	2	Romanian	4	1	2	29
298	2	Romanian	4	5	5	24
299	2	Romanian	4	6	5	37
300	2	Romanian	4	6	5	33
301	2	Romanian	4	5	4	23
302	2	Romanian	4	6	4	30
303	2	Romanian	4	5	4	23
304	2	Romanian	4	4	4	23
305	1	Romanian	2	3	2	36
306	2	Romanian	4	5	5	21
307	1	Romanian	1	4	2	44
308	3	Romanian	6	5	4	37
309	2	Romanian	5	2	4	36
310	2	Irish	3	3	3	26
311	2	Romanian	5	7	6	56
312	2	Romanian	4	7	4	48
313	2	American	4	6	4	56
314	2	Romanian	5	7	4	48
315	1	Romanian	4	4	4	28
316	2	Romanian	3	5	4	41
317	2	Romanian	4	5	4	51
318	2	Hungarian	5	5	5	46
319	1	Romanian	1	2	1	19
320	2	Romanian	4	4	5	23
321	2	Romanian	2	3	2	23
322	2	Romanian	2	5	5	21
323	2	Romanian	3	5	5	19
324	2	Romanian	1	6	7	24
325	2	Romanian	4	5	5	35
326	2	Romanian	4	5	5	33
327	2	Romanian	4	5	5	31
328	1	Romanian	3	6	5	36
329	2	Moldavian	1	6	4	32
330	2	Romanian	3	5	5	35
331	2	Romanian	2	4	3	30
332	2	Romanian	4	5	6	38
333	2	Romanian	2	4	2	32
334	2	Romanian	3	4	5	32
335	2	Romanian	4	6	6	28
336	2	Romanian	1	4	1	29
337	2	Romanian	1	4	3	28
338	1	Romanian	4	6	6	33
339	2	Romanian	3	4	4	30
340	2	Romanian	2	4	1	20
341	2	Romanian	4	5	4	24
342	2	Romanian	1	3	1	28
343	2	Moldavian	1	2	1	21
344	2	Romanian	1	4	3	23
345	2	Romanian	4	5	5	22
346	1	Romanian	4	4	4	22
347	2	Romanian	2	3	6	24
348	1	Romanian	1	1	1	29
349	2	Romanian	2	1	2	23
350	2	Romanian	3	4	3	25
351	2	Romanian	1	4	3	24
352	1	Romanian	3	5	5	23
353	1	Romanian	4	6	5	24
354	2	Romanian	6	7	7	24
355	2	Romanian	4	6	6	24
356	2	Romanian	4	6	4	35
357	2	Romanian	2	6	2	31
358	2	Hungarian	3	4	4	33
359	2	Hungarian	4	7	7	46
360	2	Romanian	3	6	4	23
361	2	British	4	5	5	37
362	2	Romanian	5	2	4	42
363	2	Romanian	1	2	3	22
364	2	Romanian	1	3	1	44
365	2	Moldavian	4	6	6	19
366	2	Romanian	3	5	5	20
367	1	Romanian	4	5	3	21
368	2	Romanian	4	5	4	19
369	1	Romanian	3	2	4	23
370	2	Romanian	4	6	5	23
371	2	Romanian	5	6	4	22
372	2	Romanian	4	5	3	19
373	2	Romanian	2	2	2	24
374	2	Romanian	4	4	3	20
375	2	Romanian	3	5	4	22
376	2	Romanian	6	2	3	25
377	2	Romanian	3	5	5	21
378	2	Romanian	5	7	3	23
379	2	Romanian	4	3	3	22
380	2	Romanian	4	5	5	21
381	2	Romanian	3	4	5	22
382	2	Romanian	4	6	5	22
383	2	Romanian	5	6	5	22
384	2	Romanian	4	7	7	20
385	2	Romanian	1	1	1	21
386	2	Romanian	1	7	4	21
387	1	Romanian	4	7	7	21
388	2	Romanian	4	5	5	21
389	2	Romanian	1	6	1	22
390	2	Romanian	1	2	1	21
391	1	Romanian	1	4	1	20
392	1	Romanian	3	4	4	20
393	2	Romanian	1	7	4	21
394	1	Romanian	3	6	4	22
395	2	Romanian	4	7	6	21
396	2	Romanian	4	3	5	23
397	2	Romanian	4	5	4	23
398	2	Romanian	4	6	5	21
399	1	Romanian	1	1	1	19
400	2	Romanian	4	5	4	21
401	2	Romanian	6	7	7	19
402	2	Romanian	4	5	5	21
403	2	Romanian	1	4	3	21
404	2	Romanian	4	4	4	20
405	2	Romanian	5	6	5	21
406	2	Romanian	5	6	6	20
407	2	Romanian	4	5	6	21
408	2	Romanian	4	5	5	22
409	2	Romanian	4	5	6	19
410	2	British	1	2	3	31
411	2	Moldavian	2	5	5	22
412	2	Moldavian	2	7	7	37
413	1	Romanian	2	6	4	22
414	2	Romanian	3	5	6	23
415	2	Moldavian	4	7	7	30
416	2	Moldavian	4	5	5	32
417	2	Romanian	4	5	5	35
418	2	Romanian	3	6	7	26
419	2	Hungarian	3	4	4	22
420	2	Moldavian	4	4	4	22
421	2	Romanian	4	6	6	23
422	2	Romanian	1	1	4	18
423	1	Romanian	4	4	4	30
424	2	Romanian	4	7	7	20
425	2	Romanian	4	5	5	22
426	1	Romanian	1	1	5	46
427	2	Romanian	1	1	1	32
428	1	Romanian	3	4	2	37
429	2	Romanian	4	6	6	46
430	1	Romanian	4	6	5	41
431	2	Romanian	4	7	4	23
432	2	Romanian	4	5	4	43
433	2	Moldavian	3	6	4	33
434	2	Romanian	4	7	7	32
435	2	Romanian	5	4	3	47
436	2	Romanian	2	2	2	41
437	2	Romanian	7	4	5	38
438	2	Romanian	4	4	4	34
439	2	Romanian	4	6	4	37
440	2	Romanian	1	2	2	39
441	2	Romanian	1	1	3	35
442	2	Romanian	3	6	5	42
443	2	Romanian	4	4	4	43
444	2	Romanian	2	7	6	58
445	1	Romanian	4	6	5	40
446	2	Hungarian	4	5	4	29
447	2	Romanian	3	7	7	55
448	2	Romanian	2	4	3	44
449	2	Romanian	6	4	5	32
450	2	Romanian	3	4	4	30
451	2	Romanian	7	6	6	32
452	2	Romanian	4	4	4	43
453	2	Romanian	5	6	6	49
454	1	Romanian	4	6	4	33
455	2	Romanian	4	4	4	35
456	2	Romanian	5	6	6	46
457	2	Romanian	4	5	5	42
458	2	Romanian	3	3	3	38
459	2	Romanian	3	4	4	29
460	2	Romanian	2	5	4	32
461	2	Romanian	4	5	4	28
462	2	Romanian	4	4	4	41
463	2	Romanian	5	7	4	42
464	2	Romanian	4	4	4	32
465	1	Australian	1	1	1	28
466	2	Canadian	4	5	4	55
467	1	Dutch	5	6	5	34
468	1	Hungarian	3	4	3	27
469	2	Hungarian	4	4	4	27
470	2	Hungarian	4	5	6	29
471	2	Moldavian	4	4	4	21
472	1	Romanian	2	3	3	31
473	2	Romanian	3	5	5	33
474	2	Romanian	5	4	4	35
475	2	Romanian	6	3	7	29
476	2	Romanian	4	7	5	31
477	2	Romanian	4	4	4	23
478	1	Romanian	4	5	3	30
479	2	Romanian	1	5	4	23
480	2	Romanian	5	6	5	28
481	2	Romanian	4	1	1	29
482	2	Romanian	4	7	6	44
483	2	Romanian	4	4	4	24
484	2	Romanian	4	6	3	27
485	2	Romanian	7	3	3	27
486	2	Romanian	5	6	5	40
487	2	Romanian	4	6	5	32
488	2	Romanian	6	3	4	20
489	1	Romanian	1	1	1	23
490	2	Romanian	4	6	5	25
491	2	Romanian	2	2	2	25
492	2	Romanian	5	6	4	26
493	1	Romanian	6	6	6	35
494	1	Romanian	7	4	6	33
495	2	Romanian	3	3	3	25
496	1	Romanian	3	6	5	36
497	2	Romanian	4	6	4	24
498	1	Romanian	3	4	4	26
499	2	Romanian	2	2	2	23
500	2	Romanian	3	4	4	22
501	1	Romanian	5	6	6	27
502	2	Romanian	5	5	5	24
503	2	Romanian	4	5	4	28
504	2	Romanian	4	4	4	28
505	1	Romanian	4	3	3	51
506	2	Romanian	4	4	4	35
507	2	Romanian	3	2	3	47
508	2	Romanian	2	4	3	25
509	1	Romanian	3	5	6	24
510	2	Romanian	3	4	4	25
511	1	Romanian	1	4	1	26
512	2	Romanian	4	3	4	37
513	2	Romanian	4	7	6	31
514	2	Romanian	3	4	2	26
515	2	Romanian	6	4	6	30
516	2	Romanian	4	4	4	26
517	1	Romanian	2	4	6	52
518	1	Australian	3	2	3	32
519	2	Romanian	1	4	1	47
520	2	Romanian	4	7	7	51
521	1	Romanian	5	5	5	29
522	1	Romanian	1	2	1	27
523	2	Romanian	7	7	7	41
524	2	Romanian	1	4	4	32
525	2	Romanian	4	4	4	32
526	1	Romanian	4	4	4	21
527	1	Romanian	2	4	5	50
528	2	Romanian	1	3	3	30
529	2	Romanian	4	7	7	44
530	1	Romanian	2	7	7	42
531	2	Romanian	4	6	4	53
532	1	Moldavian	2	3	4	36
533	2	Romanian	4	4	4	45
534	2	Romanian	4	5	6	30
535	2	Romanian	1	4	1	33
536	2	Moldavian	3	4	4	35
537	2	Romanian	4	7	7	33
538	1	Hungarian	2	5	5	73
539	2	Romanian	1	1	1	62
540	2	Romanian	1	4	1	57
541	1	Romanian	1	4	4	77
542	1	Romanian	1	1	1	72
543	2	Romanian	1	1	1	77
544	2	Romanian	2	5	4	23
545	2	Romanian	4	7	6	20
546	2	Romanian	6	4	5	22
547	2	Romanian	2	6	6	22
548	2	Romanian	4	6	5	23
549	2	Romanian	5	6	6	19
550	2	Romanian	4	7	7	20
551	2	Romanian	5	6	7	25
552	2	Romanian	4	4	4	34
553	1	Romanian	1	1	1	71
554	2	Romanian	4	7	5	39
555	2	Romanian	4	5	1	33
556	2	Romanian	4	6	5	24
557	2	Romanian	1	1	1	28
558	2	Romanian	2	7	6	36
559	2	Moldavian	4	4	4	29
560	2	Romanian	4	5	5	32
561	2	Romanian	4	7	6	31
562	2	Romanian	1	4	1	28
563	2	Romanian	4	5	6	34
564	2	Romanian	4	6	6	35
565	2	Romanian	2	3	2	32
566	2	Romanian	1	1	1	27
567	2	Romanian	4	6	5	31
568	2	Romanian	1	5	3	33
569	2	Romanian	3	3	3	30
570	2	Romanian	2	3	2	29
571	2	Romanian	4	6	5	29
572	2	Romanian	3	4	4	34
573	2	Romanian	2	5	5	37
574	2	Romanian	2	5	3	35
575	2	Romanian	4	4	4	34
576	2	Hungarian	3	6	4	25
577	2	Moldavian	1	4	4	21
578	2	Romanian	2	4	4	30
579	2	Romanian	1	1	1	32
580	2	Romanian	1	1	1	35
581	2	Romanian	3	5	4	33
582	2	Romanian	2	3	3	34
583	2	Romanian	4	4	4	32
